Fecha hora inicio,Aeropuerto,Tipo Informe,Informe
2020-08- 18 15:00:00,SKMD,METAR,METAR SKMD 181500Z 08004KT 9999 SCT030 24/16 A3016=
2020-08- 18 15:00:00,SKVV,METAR,METAR SKVV 181500Z 00000KT 9999 FEW020 SCT200 26/17 A2994=
2020-08- 18 15:00:00,SKBG,METAR,METAR SKBG 181500Z 32003KT 9999 SCT012 SCT240 24/21 A3003=
2020-08- 18 15:00:00,SKMR,METAR,METAR SKMR 181500Z 26004KT 9999 SCT015 SCT200 30/26 A2987=
2020-08- 18 15:00:00,SKSP,METAR,METAR SKSP 181500Z 04008KT 9999 FEW017 SCT200 30/26 A2991=
2020-08- 18 15:00:00,SKRG,METAR,METAR SKRG 181500Z 36004KT 9999 SCT020 20/13 A3032 NOSIG=
2020-08- 18 15:00:00,SKCL,METAR,METAR SKCL 181500Z 08004KT 020V160 9000 SCT020 27/22 A3004 NOSIG RMK HZ=
2020-08- 18 15:00:00,SKPV,METAR,METAR SKPV 181600Z 08006KT 360V140 9999 FEW018 SCT200 31/27 A2992=
2020-08- 18 15:00:00,SKNV,METAR,METAR SKNV 181500Z VRB03KT 9999 FEW027 BKN230 28/21 A2995=
2020-08- 18 15:00:00,SKLT,METAR,METAR SKLT 181500Z 07003KT CAVOK 31/26 A2986=
2020-08- 18 15:00:00,SKUC,METAR,METAR SKUC 181500Z 08003KT 5000 -DZ BKN08 SCT015 23/22 A2994   =
2020-08- 18 15:00:00,SKSM,METAR,METAR SKSM 181500Z 21008KT 9999 FEW020 BKN200 29/26 A2988=
2020-08- 18 15:00:00,SKPC,METAR,METAR SKPC 181500Z VRB02KT 9999 VCSH FEW013 BKN070 26/24 A2990 RMK VCSH/NW=
2020-08- 18 15:00:00,SKAR,METAR,METAR SKAR 181500Z 00000KT 8000 VCFG BKN012 SCT090 22/20 A3011=
2020-08- 18 15:00:00,SKEJ,METAR,METAR SKEJ 181500Z 28003KT 9999 SCT015 SCT200 29/25 A2987=
2020-08- 18 15:00:00,SKPE,METAR,METAR SKPE 181500Z 31004KT 9999 SCT014 SCT080 23/20 A3010=
2020-08- 18 15:00:00,SKVP,METAR,METAR SKVP 181500Z 08005KT 9999 FEW015 SCT200 29/25 A2992=
2020-08- 18 15:00:00,SKLC,METAR,METAR SKLC 181500Z 15004KT 9999 SCT015 29/25 A2988=
2020-08- 18 16:00:00,SKEJ,METAR,METAR SKEJ 181600Z 23003KT 9999 SCT015 BKN200 29/24 A2986=
2020-08- 18 16:00:00,SKBO,METAR,METAR SKBO 181600Z 34005KT 9999 FEW020 BKN200 19/11 A3033 NOSIG=
2020-08- 18 16:00:00,SKUC,METAR,METAR SKUC 181700Z 00000KT 8000 -DZ BKN010 SCT100 23/22 A2991=
2020-08- 18 16:00:00,SKUI,METAR,METAR SKUI 181600Z 21005KT 9999 BKN018 29/24 A2988=
2020-08- 18 16:00:00,SKMR,METAR,METAR SKMR 181600Z 27003KT 9999 SCT015 BKN200 31/26 A2986=
2020-08- 18 16:00:00,SKLC,METAR,METAR SKLC 181600Z 21004KT 9999 SCT017 30/25 A2988=
2020-08- 18 16:00:00,SKRG,METAR,METAR SKRG 181600Z 10006KT 9999 SCT020 21/12 A3032 NOSIG=
2020-08- 18 16:00:00,SKCL,METAR,METAR SKCL 181600Z 06004KT 360V150 9000 BKN027 28/21 A3002 NOSIG RMK HZ=
2020-08- 18 16:00:00,SKBQ,METAR,METAR SKBQ 181600Z VRB02KT 9999 FEW018 SCT200 31/25 A2985 NOSIG=
